brand,campaign,athlete,ig_handle,drive_content_folder_url,match_confidence
CVS,Extra Extra Big Deals January,Cotie Mcmahon,cotiemcmahon32,https://drive.google.com/drive/folders/1wBq40IbZQu7-r11BidoX2az1A9-CpHy_,exact
CVS,Extra Extra Big Deals January,Rocco Becht,rocco_becht3,https://drive.google.com/drive/folders/1WAZkbXPpgupAxyL2eQXzL8qUbInO-eNZ,exact
CVS,Extra Extra Big Deals January,Christian Anderson,christiananderson2024,https://drive.google.com/drive/folders/16u-NB57bwfiBRES680d84r5iLRFszsar,exact
CVS,Extra Extra Big Deals January,Nijaree Canady,nija.canady,https://drive.google.com/drive/folders/1u_zG2DqIECCsoodk0wBeDxNOVisT8F5k,exact
